Subject,Class_ID,Class,Channel,Band,N_Trials,Raw_ERD_ERS_percent,Clean_ERD_ERS_percent,Delta_ERD_ERS_percent,Delta_Accuracy,Delta_F1
A01,4,Tongue,C4,Beta,71,10.382126747014324,13.173031414398526,2.7909046673842015,-0.02491103202846978,-0.027914278507571
A02,1,Left_Hand,C3,Mu,71,192.7445593257963,202.41188544261792,9.667326116821584,-0.03886925795052998,-0.02708237236913913
A02,2,Right_Hand,C3,Mu,71,160.06539320744477,158.94618276327756,-1.1192104441672195,-0.03886925795052998,-0.02708237236913913
A02,3,Feet,C3,Mu,69,151.54999228252768,224.44202904576733,72.89203676323963,-0.03886925795052998,-0.02708237236913913
A02,4,Tongue,C3,Mu,72,185.97781700421237,146.95614501781208,-39.02167198640031,-0.03886925795052998,-0.02708237236913913
A02,1,Left_Hand,C3,Beta,71,16.839259405612932,11.923358727199759,-4.915900678413175,-0.03886925795052998,-0.02708237236913913
A02,2,Right_Hand,C3,Beta,71,15.592190228822139,4.846417460559423,-10.745772768262718,-0.03886925795052998,-0.02708237236913913
A02,3,Feet,C3,Beta,69,-2.8002902446575995,-3.706660369229287,-0.906370124571687,-0.03886925795052998,-0.02708237236913913
A02,4,Tongue,C3,Beta,72,18.945580667743272,9.677859251317724,-9.267721416425552,-0.03886925795052998,-0.02708237236913913
A02,1,Left_Hand,Cz,Mu,71,200.71120607949248,176.4567865708169,-24.254419508675625,-0.03886925795052998,-0.02708237236913913
A02,2,Right_Hand,Cz,Mu,71,218.5391958367091,184.13324684442847,-34.40594899228065,-0.03886925795052998,-0.02708237236913913
A02,3,Feet,Cz,Mu,69,190.1723087578717,206.71506927308346,16.542760515211715,-0.03886925795052998,-0.02708237236913913
A02,4,Tongue,Cz,Mu,72,180.88701799646583,164.92793347661816,-15.959084519847622,-0.03886925795052998,-0.02708237236913913
A02,1,Left_Hand,Cz,Beta,71,18.28603919577698,11.100478956849308,-7.18556023892767,-0.03886925795052998,-0.02708237236913913
A02,2,Right_Hand,Cz,Beta,71,21.827325243491565,15.602573362339193,-6.224751881152377,-0.03886925795052998,-0.02708237236913913
A02,3,Feet,Cz,Beta,69,7.224011122250671,20.051130671912986,12.827119549662312,-0.03886925795052998,-0.02708237236913913
A02,4,Tongue,Cz,Beta,72,24.377753888915155,11.613701318962162,-12.764052569952987,-0.03886925795052998,-0.02708237236913913
A02,1,Left_Hand,C4,Mu,71,203.774576406279,201.21872190580143,-2.5558545004775977,-0.03886925795052998,-0.02708237236913913
A02,2,Right_Hand,C4,Mu,71,188.45316163834897,182.5748755614285,-5.878286076920453,-0.03886925795052998,-0.02708237236913913
A02,3,Feet,C4,Mu,69,166.90111013368278,164.9314176218968,-1.9696925117859814,-0.03886925795052998,-0.02708237236913913
A02,4,Tongue,C4,Mu,72,161.16323394216514,155.6588399914622,-5.504393950702966,-0.03886925795052998,-0.02708237236913913
A02,1,Left_Hand,C4,Beta,71,12.329458842562413,5.822851580671278,-6.506607261891136,-0.03886925795052998,-0.02708237236913913
A02,2,Right_Hand,C4,Beta,71,17.297733828569555,15.76871049478432,-1.5290233337852313,-0.03886925795052998,-0.02708237236913913
A02,3,Feet,C4,Beta,69,0.3712323725596323,0.009566100353809505,-0.3616662722058224,-0.03886925795052998,-0.02708237236913913
A02,4,Tongue,C4,Beta,72,15.904791336447635,0.7413693704999446,-15.16342196594769,-0.03886925795052998,-0.02708237236913913
