Subject,Channel_Index,Channel,Raw_Class_R2,Clean_Class_R2,Class_R2_Change,Delta_Accuracy,Delta_F1
A04,2,FC1,0.02044947435240489,0.021410995935651045,0.0009615215832461561,-0.02631578947368418,-0.027482121801537418
A04,3,FCz,0.017350217404173987,0.01884371241339782,0.0014934950092238344,-0.02631578947368418,-0.027482121801537418
A04,4,FC2,0.018360874623485405,0.019607324582409224,0.001246449958923819,-0.02631578947368418,-0.027482121801537418
A04,5,FC4,0.01570830821977749,0.016112623886069113,0.0004043156662916249,-0.02631578947368418,-0.027482121801537418
A04,6,C5,0.0019914542762184883,0.0012038608648784212,-0.0007875934113400671,-0.02631578947368418,-0.027482121801537418
A04,7,C3,0.01776521843587429,0.022735348113447382,0.004970129677573092,-0.02631578947368418,-0.027482121801537418
A04,8,C1,0.035931315330943174,0.04756042968387557,0.011629114352932395,-0.02631578947368418,-0.027482121801537418
A04,9,Cz,0.032113975191213784,0.04190376592257498,0.009789790731361193,-0.02631578947368418,-0.027482121801537418
A04,10,C2,0.03063497680307202,0.04096361363351115,0.01032863683043913,-0.02631578947368418,-0.027482121801537418
A04,11,C4,0.025324501827861865,0.037648011698741025,0.01232350987087916,-0.02631578947368418,-0.027482121801537418
A04,12,C6,0.0149074284220544,0.018571725086861286,0.003664296664806886,-0.02631578947368418,-0.027482121801537418
A04,13,CP3,0.060943157867846126,0.07829526359177255,0.017352105723926425,-0.02631578947368418,-0.027482121801537418
A04,14,CP1,0.08095615223130916,0.09692984368321603,0.01597369145190687,-0.02631578947368418,-0.027482121801537418
A04,15,CPz,0.06961189932473137,0.08305151057673954,0.013439611252008168,-0.02631578947368418,-0.027482121801537418
A04,16,CP2,0.06495524079160173,0.08005268525209755,0.015097444460495824,-0.02631578947368418,-0.027482121801537418
A04,17,CP4,0.055024609004477455,0.07105338688229926,0.016028777877821802,-0.02631578947368418,-0.027482121801537418
A04,18,P1,0.1194890298707727,0.1273159625197684,0.0078269326489957,-0.02631578947368418,-0.027482121801537418
A04,19,Pz,0.09605343067679284,0.10173443134122885,0.005681000664436012,-0.02631578947368418,-0.027482121801537418
A04,20,P2,0.08965677443994227,0.09249416997990502,0.0028373955399627476,-0.02631578947368418,-0.027482121801537418
A04,21,POz,0.12312852124093868,0.12188332338967145,-0.0012451978512672268,-0.02631578947368418,-0.027482121801537418
A05,0,Fz,0.011275621779714178,0.0049836874527046165,-0.006291934327009562,0.021739130434782594,0.06250575637185948
A05,1,FC3,0.023284973911551453,0.01924163584930128,-0.004043338062250174,0.021739130434782594,0.06250575637185948
A05,2,FC1,0.016744753130529227,0.010489638901037523,-0.006255114229491704,0.021739130434782594,0.06250575637185948
A05,3,FCz,0.017543487347543553,0.01300794474923916,-0.004535542598304392,0.021739130434782594,0.06250575637185948
A05,4,FC2,0.013176145491519941,0.00806211530651867,-0.0051140301850012716,0.021739130434782594,0.06250575637185948
