Subject,Band,Raw_Class_R2,Clean_Class_R2,Class_R2_Change,Raw_Absolute_Power,Clean_Absolute_Power,Absolute_Power_Change,Absolute_Power_Change_Percent,Raw_Relative_Power,Clean_Relative_Power,Relative_Power_Change,Relative_Power_Change_Percent,Delta_Accuracy,Delta_F1
A05,Theta,0.02743585412775562,0.03283377561288082,0.005397921485125197,11.286928498786567,9.080842869271185,-2.206085629515382,-19.54549131548546,0.2107593860837234,0.30471046438637656,0.09395107830265315,44.57741125955425,0.021739130434782594,0.06250575637185948
A05,Alpha_Mu,0.014741062650436256,0.030792274134155917,0.01605121148371966,5.613358948841239,3.5974254400185237,-2.0159335088227155,-35.913140905390755,0.10593480349880452,0.12248980617969452,0.016555002680889996,15.62753895236783,0.021739130434782594,0.06250575637185948
A05,Beta,0.005854379133659488,0.003576787257373347,-0.0022775918762861407,31.65513379800534,13.799654507556996,-17.855479290448343,-56.40626700359566,0.5891535451290525,0.47332730224531677,-0.11582624288373572,-19.659771861062854,0.021739130434782594,0.06250575637185948
A05,Gamma,0.005334835674996753,0.008355466221526501,0.0030206305465297475,3.145542118537802,1.6318761468797247,-1.5136659716580774,-48.120988834881715,0.05747600590480733,0.055611225102094104,-0.0018647808027132257,-3.2444509206184318,0.021739130434782594,0.06250575637185948
A06,Theta,0.03338679560288387,0.03251464466243737,-0.0008721509404465005,26.198206811725363,19.41509363811987,-6.783113173605493,-25.891517012414827,0.3643377794598803,0.36076069716878195,-0.0035770822910983213,-0.9818038350020242,0.0,0.002460527644751187
A06,Alpha_Mu,0.011993109387521114,0.009576712608738488,-0.0024163967787826264,22.91092622845132,18.660517470758734,-4.250408757692586,-18.551885311447293,0.32942209138458406,0.3487742105428801,0.019352119158296044,5.8745662978939075,0.0,0.002460527644751187
A06,Beta,0.003961019782975342,0.00835391266404217,0.004392892881066828,13.222546547296536,9.525266842452409,-3.697279704844128,-27.961933744147554,0.20207288186226827,0.1906494360028444,-0.01142344585942387,-5.653131560329815,0.0,0.002460527644751187
A06,Gamma,0.003631892938376048,0.003100119339523249,-0.0005317735988527991,2.2226527127502953,1.5125288280194877,-0.7101238847308076,-31.949385554349835,0.034225985657237556,0.03090756561559814,-0.0033184200416394166,-9.695615708112387,0.0,0.002460527644751187
A07,Theta,0.023497500512450264,0.04163895948377627,0.01814145897132601,9.69200864574667,7.667514505027704,-2.024494140718966,-20.88828244707988,0.23252332786576752,0.22147249845545272,-0.011050829410314794,-4.7525680591902955,0.06137184115523464,0.06590353977961971
A07,Alpha_Mu,0.0354088048603667,0.052346467526413476,0.01693766266604678,15.020000610857293,12.110193366709511,-2.909807244147782,-19.372883660500058,0.3475557277544428,0.33687526774701426,-0.01068046000742856,-3.0730208581038214,0.06137184115523464,0.06590353977961971
A07,Beta,0.031845953023342685,0.025365532417521923,-0.006480420605820762,13.584503160180128,11.89037500418142,-1.6941281559987083,-12.471035090666094,0.3315083663013856,0.348159038253447,0.016650671952061435,5.022700373396833,0.06137184115523464,0.06590353977961971
A07,Gamma,0.010473819602950558,0.012333356644501445,0.0018595370415508874,1.0662443329707563,1.11603731483906,0.04979298186830383,4.669941056527941,0.026939900103195497,0.033821861103903735,0.006881961000708238,25.54560697829733,0.06137184115523464,0.06590353977961971
A08,Theta,0.0015756606504921749,0.00897167035842085,0.007396009707928674,12.221081879309668,7.614038756233299,-4.6070431230763695,-37.697506395698966,0.12618760745550356,0.15083734218291256,0.024649734727409,19.53419612627256,0.0,-0.0021923887083538096
A08,Alpha_Mu,0.003984052303839298,0.007078894849395214,0.003094842545555916,37.44261787155608,25.709567070594307,-11.733050800961774,-31.336085636990102,0.369334287804035,0.4726502393476733,0.10331595154363832,27.973560797165064,0.0,-0.0021923887083538096
A08,Beta,0.009039604835678009,0.005073474985745597,-0.003966129849932412,36.394352666636,14.212139322408007,-22.182213344227996,-60.94960266888665,0.3739190693745855,0.2861215007889658,-0.08779756858561971,-23.480366682680646,0.0,-0.0021923887083538096
A08,Gamma,0.0029955680085184113,0.003597111655650751,0.0006015436471323399,8.06029505601132,2.1002664259057555,-5.9600286301055645,-73.94305777504523,0.08290394082567087,0.04319753728924028,-0.039706403536430596,-47.894470565548396,0.0,-0.0021923887083538096
A09,Theta,0.037819961748385915,0.06698016858765603,0.029160206839270113,29.623369249198657,23.977059079819046,-5.6463101693796105,-19.060324036342855,0.21960630014329222,0.21432741835027339,-0.00527888179301883,-2.4037934201224562,-0.018939393939393923,-0.015270997623866744
A09,Alpha_Mu,0.023276525278393516,0.029841903362593326,0.0065653780841998105,80.6382468444342,69.18592559579469,-11.452321248639521,-14.202096023656274,0.5810799099178431,0.5955532723853606,0.014473362467517514,2.490769723834344,-0.018939393939393923,-0.015270997623866744
A09,Beta,0.039628700300570606,0.03416025692316012,-0.005468443377410488,16.912477210065838,13.2692775244044,-3.643199685661438,-21.541490583609516,0.1292972687456054,0.12162128257076446,-0.007675986174840943,-5.936696304036845,-0.018939393939393923,-0.015270997623866744
A09,Gamma,0.011735047096846222,0.012154920946459508,0.0004198738496132854,1.9207905389466533,1.7141568836748644,-0.2066336552717889,-10.757740163854889,0.014896831658606627,0.01590188823245852,0.0010050565738518938,6.746780771139503,-0.018939393939393923,-0.015270997623866744
