Subject,Band,N_Trials,Baseline_Mean_R2,Baseline_Median_R2,MI_Mean_R2,MI_Median_R2,Mean_Change_R2,Median_Change_R2,Std_Change_R2,Positive_Trials,Negative_Trials
A04,Gamma,228,0.3026806429562907,0.28703846746409256,0.37474051898854044,0.3469406752468402,0.0720598760322497,0.06039994652687297,0.16662393374906345,151,77
A05,Theta,276,0.45930206426366244,0.46356145713590624,0.38295580922478245,0.39378892482916594,-0.07634625503888003,-0.08487552663678646,0.20400615226430413,97,179
A05,Alpha_Mu,276,0.5419222099081292,0.5434075772375169,0.5080215163749887,0.5073776886049453,-0.03390069353314045,-0.029144929365702593,0.16406322311537508,120,156
A05,Beta,276,0.6025279394479894,0.5996863972609865,0.6193048967568305,0.62559051282711,0.016776957308841028,0.021701070507835762,0.10045252629762716,158,118
A05,Gamma,276,0.5604762328088106,0.5804260631244651,0.597310378455519,0.625078332017675,0.036834145646708324,0.03079746476344733,0.15762635182295032,158,118
A06,Theta,215,0.4508738456498897,0.4538344915485072,0.41580715642809324,0.4146116542564888,-0.03506668922179649,-0.03913561144398475,0.2089701897851897,91,124
A06,Alpha_Mu,215,0.3988606051010153,0.38949754353611626,0.44742456903180544,0.4500171282876674,0.04856396393079018,0.030047803048812605,0.1698764048077989,125,90
A06,Beta,215,0.30449320061313384,0.30921094700039886,0.33516939848616695,0.34026845722154875,0.030676197873033183,0.031694026242801154,0.11255427916337128,133,82
A06,Gamma,215,0.3701234715999425,0.3645029109017308,0.432040483547959,0.425230973944824,0.061917011948016396,0.045425591974277424,0.1666981837547989,146,69
A07,Theta,277,0.4238205492514136,0.4403852995627098,0.3696075110275641,0.3651875125287201,-0.05421303822384943,-0.06497202201917618,0.20653368989280402,103,174
A07,Alpha_Mu,277,0.42672464978058516,0.4209906112585192,0.39248690607924347,0.39008710197711804,-0.03423774370134174,-0.018169696393787793,0.18338628056557207,125,152
A07,Beta,277,0.1821763499961082,0.1780068565464832,0.2343875498792615,0.230980557137945,0.05221119988315329,0.056706643489879444,0.08979667232767534,203,74
A07,Gamma,277,0.15789763894967437,0.14818372727754855,0.14498735088143244,0.12679018946168774,-0.01291028806824194,-0.013262269663069981,0.08941598763925675,118,159
A08,Theta,271,0.5554235130551967,0.573816443842789,0.5080216107103571,0.5072421686662022,-0.04740190234483956,-0.05008930827017666,0.1798337150944847,112,159
A08,Alpha_Mu,271,0.5171913029091806,0.5252565982911663,0.5655485048283395,0.5730222678159338,0.04835720191915907,0.0417538308312283,0.19288302133510815,161,110
A08,Beta,271,0.6507246549767415,0.6616797421473034,0.6927097468244097,0.7002951996422168,0.04198509184766842,0.04468805706070644,0.09359413331978514,190,81
A08,Gamma,271,0.7802371161586036,0.8024047000620315,0.8416094894197627,0.8530877506048825,0.06137237326115907,0.042781854878426784,0.088472239318821,201,70
A09,Theta,264,0.4322705935361788,0.42524000962284136,0.35713094752733937,0.34913095306145847,-0.0751396460088394,-0.06651997179367149,0.1999365650413476,96,168
A09,Alpha_Mu,264,0.3968284453277571,0.3933135993858782,0.3921392486711653,0.3833140069933506,-0.004689196656591723,0.00020438123494739835,0.1733601722171635,132,132
A09,Beta,264,0.29539726765178687,0.2940469289623255,0.3239050695684758,0.31586783933357754,0.028507801916688925,0.027590716935793236,0.1053041085528368,166,98
A09,Gamma,264,0.22197958705950238,0.2041585661653652,0.20564077699699235,0.18711803029115098,-0.01633881006251005,-0.01696284250878914,0.13015480794432252,118,146
