Subject,Window_Index,Window_Start_s,Window_End_s,Overall_Central_R2,Theta_Central_R2,Alpha_Mu_Central_R2,Beta_Central_R2,Gamma_Central_R2
A02,3,0.744,1.244,0.5816298436639465,0.21810506793108989,0.5677111971670319,0.6151110579912722,0.6623253150652899
A02,4,0.992,1.492,0.5792735531194174,0.22503257919673392,0.5857932432241607,0.6189749438267508,0.6747754918190862
A02,5,1.24,1.74,0.5934394957417793,0.21795889143181543,0.601218396760882,0.6433465332855423,0.7091203846811083
A02,6,1.488,1.988,0.6028287699812326,0.20188250338673583,0.6051987698424165,0.6626389281502583,0.7242067008568287
A02,7,1.736,2.236,0.614401425841864,0.2315935471684675,0.5982711943934274,0.6698219260289004,0.7230645392326036
A02,8,1.984,2.484,0.5813601320473656,0.2394699771477958,0.525107942075711,0.6592604954972826,0.701830457880565
A02,9,2.232,2.732,0.5582994678441121,0.2055120747660534,0.44325857326356244,0.6606727452652293,0.7084232145055511
A02,10,2.48,2.98,0.6100559112585543,0.21101747411844962,0.5500631657509373,0.6724167997571898,0.7372588893324417
A02,11,2.728,3.228,0.6229700897709665,0.22005535259014974,0.5886926681765526,0.6668715633786044,0.7345841030987792
A02,12,2.976,3.476,0.6056451616872485,0.21398995761261996,0.5505595887402509,0.6653138690324307,0.7502739516156517
A02,13,3.224,3.724,0.5901597178080807,0.2002842375656596,0.52188941019475,0.6600112123191719,0.7597367584680458
A02,14,3.472,3.972,0.6137578201155065,0.22886666617888024,0.5479481330243948,0.6776425339128035,0.7675098301645983
A03,0,0.0,0.5,0.25759066201629816,0.1575184539769529,0.16207442899360622,0.5387653636692807,0.630639128503337
A03,1,0.248,0.748,0.30871645791059754,0.1910053611328317,0.15857608959667616,0.5437669345723263,0.6272336730650974
A03,2,0.496,0.996,0.32140891879197986,0.2226038012519723,0.16629409200920608,0.5553769458393428,0.6212726627561119
A03,3,0.744,1.244,0.32295680813227734,0.2195060704004622,0.17239874337042427,0.5711071500147465,0.6272171311326539
A03,4,0.992,1.492,0.33315697878579975,0.23669082756433305,0.18754014889530982,0.567096381794054,0.6419462509742654
A03,5,1.24,1.74,0.3403976772628358,0.2311612225788398,0.18927040161406372,0.5615953352440266,0.6396948525391437
A03,6,1.488,1.988,0.34148500301073414,0.22102701064288285,0.19098901211839708,0.5678992800244366,0.6308803503740307
A03,7,1.736,2.236,0.3132426816222633,0.1587441163116624,0.20137967364452114,0.5554354368334623,0.621051617756387
A03,8,1.984,2.484,0.3124808428488199,0.15998846137910122,0.2176254139559549,0.5515807578417082,0.6289428215969848
A03,9,2.232,2.732,0.3783345596409768,0.18755282520010436,0.2518106292689647,0.5885917555045631,0.6571891966797928
A03,10,2.48,2.98,0.41370093437951466,0.20874435729657773,0.2747959780747408,0.6117045600929195,0.679110671015975
A03,11,2.728,3.228,0.4080138442834058,0.23081860601917392,0.2621702547749272,0.6156683771111732,0.6786779851183192
A03,12,2.976,3.476,0.3800022595783825,0.20273722690206164,0.2344768508584199,0.6246740971253488,0.6802613047773244
A03,13,3.224,3.724,0.3869089193632489,0.19224069148864895,0.23556404707115713,0.6212727575746508,0.6727551683640923
A03,14,3.472,3.972,0.41625915209461534,0.2009663017065685,0.2582798535727245,0.6277701909087173,0.6763972420655604
A04,0,0.0,0.5,0.18057368429962264,0.16310326216548685,0.24026789234378304,0.16942854245736003,0.15110824574302112
A04,1,0.248,0.748,0.18113827304166566,0.1560656932834173,0.21079671626523597,0.2045924552066656,0.1873558515622783
