Subject,Band,Channel,R2,R2_percent
A09,Alpha_Mu,C2,0.4595027091810918,45.95027091810918
A09,Alpha_Mu,C4,0.41478232544628657,41.47823254462865
A09,Alpha_Mu,C6,0.5247515578101358,52.475155781013584
A09,Beta,C5,0.46481382950062966,46.481382950062965
A09,Beta,C3,0.39003532200383395,39.0035322003834
A09,Beta,C1,0.4972843362525322,49.728433625253224
A09,Beta,Cz,0.5156000390741035,51.56000390741035
A09,Beta,C2,0.5236151521465027,52.36151521465027
A09,Beta,C4,0.4605461900656268,46.05461900656268
A09,Beta,C6,0.5457609520485605,54.576095204856045
A09,Gamma,C5,0.7151105499342532,71.51105499342532
A09,Gamma,C3,0.6673989439810257,66.73989439810258
A09,Gamma,C1,0.739408998584005,73.9408998584005
A09,Gamma,Cz,0.7639582031443055,76.39582031443055
A09,Gamma,C2,0.7550417668189224,75.50417668189225
A09,Gamma,C4,0.6613004929163406,66.13004929163407
A09,Gamma,C6,0.6779348197841999,67.79348197841999
