Subject,Band,Channel,R2,R2_percent
A03,Theta,C5,0.20598234422480743,20.598234422480743
A03,Theta,C3,0.14700721206427936,14.700721206427936
A03,Theta,C1,0.15032987131175712,15.032987131175712
A03,Theta,Cz,0.1504018520825392,15.04018520825392
A03,Theta,C2,0.1801572873166799,18.01572873166799
A03,Theta,C4,0.21943494352332493,21.943494352332493
A03,Theta,C6,0.3084454476049946,30.84454476049946
A03,Alpha_Mu,C5,0.09201580352752736,9.201580352752735
A03,Alpha_Mu,C3,0.044568059567622,4.456805956762199
A03,Alpha_Mu,C1,0.12237372079121622,12.237372079121622
A03,Alpha_Mu,Cz,0.24401565373576362,24.40156537357636
A03,Alpha_Mu,C2,0.2428531227104891,24.28531227104891
A03,Alpha_Mu,C4,0.26286756894132846,26.286756894132846
A03,Alpha_Mu,C6,0.34902022573132774,34.902022573132776
A03,Beta,C5,0.7005411827450313,70.05411827450313
A03,Beta,C3,0.6655660595715577,66.55660595715577
A03,Beta,C1,0.6957370995818793,69.57370995818793
A03,Beta,Cz,0.7026359895011907,70.26359895011906
A03,Beta,C2,0.7148611411968078,71.48611411968078
A03,Beta,C4,0.7091264173182308,70.91264173182307
A03,Beta,C6,0.7024450952573954,70.24450952573955
A03,Gamma,C5,0.7593303196914727,75.93303196914727
A03,Gamma,C3,0.8196549886893876,81.96549886893875
A03,Gamma,C1,0.825575990609117,82.5575990609117
A03,Gamma,Cz,0.816263505566118,81.62635055661181
A03,Gamma,C2,0.8247314032063114,82.47314032063115
A03,Gamma,C4,0.803605995307731,80.3605995307731
A03,Gamma,C6,0.7148521353192295,71.48521353192295
A04,Delta,C5,0.48683655077697174,48.683655077697175
A04,Delta,C3,0.457508938015183,45.7508938015183
A04,Delta,C1,0.4381785123923091,43.81785123923091
A04,Delta,Cz,0.4209335803521882,42.09335803521882
A04,Delta,C2,0.5092614094208886,50.92614094208886
A04,Delta,C4,0.5996386077722314,59.96386077722315
A04,Delta,C6,0.7060379405413295,70.60379405413295
A04,Theta,C5,0.20509338235545882,20.509338235545883
A04,Theta,C3,0.16479546418166557,16.479546418166557
A04,Theta,C1,0.14845980747637721,14.845980747637721
A04,Theta,Cz,0.1353786826634551,13.537868266345509
A04,Theta,C2,0.17693183241383625,17.693183241383625
A04,Theta,C4,0.225114046701957,22.511404670195702
A04,Theta,C6,0.29194339560004035,29.194339560004035
A04,Alpha_Mu,C5,0.1357171117018211,13.57171117018211
A04,Alpha_Mu,C3,0.13184011386465566,13.184011386465567
A04,Alpha_Mu,C1,0.16837672219508548,16.837672219508548
A04,Alpha_Mu,Cz,0.19109680248551553,19.109680248551552
A04,Alpha_Mu,C2,0.18641504499206696,18.641504499206697
A04,Alpha_Mu,C4,0.17062908126072318,17.06290812607232
A04,Alpha_Mu,C6,0.20262452953198584,20.262452953198583
A04,Beta,C5,0.1296321514505886,12.963215145058859
A04,Beta,C3,0.13261750894735302,13.261750894735302
A04,Beta,C1,0.1635475060939876,16.35475060939876
A04,Beta,Cz,0.1755533285152604,17.55533285152604
A04,Beta,C2,0.18141149645695187,18.141149645695187
A04,Beta,C4,0.1755002932151959,17.550029321519588
A04,Beta,C6,0.22394174015634005,22.394174015634004
A04,Gamma,C5,0.17879303197190444,17.879303197190445
A04,Gamma,C3,0.2091377330282389,20.91377330282389
A04,Gamma,C1,0.2124327426057423,21.24327426057423
A04,Gamma,Cz,0.19605271735846597,19.605271735846596
A04,Gamma,C2,0.2172081684742272,21.720816847422718
A04,Gamma,C4,0.22739954339974766,22.739954339974766
A04,Gamma,C6,0.23698530044229538,23.69853004422954
A05,Delta,C5,0.5691531409890185,56.915314098901845
A05,Delta,C3,0.4787584391257569,47.87584391257569
A05,Delta,C1,0.45358553118018863,45.35855311801886
A05,Delta,Cz,0.46064489416822185,46.064489416822184
A05,Delta,C2,0.5221880600378981,52.21880600378981
A05,Delta,C4,0.6030382045889593,60.30382045889593
A05,Delta,C6,0.7261755790044397,72.61755790044397
A05,Theta,C5,0.26291855596245894,26.291855596245895
A05,Theta,C3,0.21620745299427746,21.620745299427746
A05,Theta,C1,0.19757051262464453,19.757051262464454
A05,Theta,Cz,0.18842119789095868,18.842119789095868
A05,Theta,C2,0.21722149824823878,21.722149824823877
