Subject,EEG_Channel_Index,EEG_Channel,Raw_EOG_Coupling,Clean_EOG_Coupling,Coupling_Change,Coupling_Change_Percent,Delta_Accuracy,Delta_F1
A09,2,FC1,0.46258041299209696,0.07427212105696278,-0.38830829193513416,-83.94395461395558,-0.018939393939393923,-0.015270997623866744
A09,3,FCz,0.47979939143302247,0.08063818637882407,-0.3991612050541984,-83.19335376020777,-0.018939393939393923,-0.015270997623866744
A09,4,FC2,0.511449816150137,0.084482856723794,-0.42696695942634294,-83.48169183836525,-0.018939393939393923,-0.015270997623866744
A09,5,FC4,0.5375641920981279,0.10319332446351843,-0.43437086763460947,-80.80353453961433,-0.018939393939393923,-0.015270997623866744
A09,6,C5,0.2711310743584136,0.024143641567841687,-0.24698743279057192,-91.09521414136185,-0.018939393939393923,-0.015270997623866744
A09,7,C3,0.24230029905832753,0.025759807505872215,-0.2165404915524553,-89.36864394885818,-0.018939393939393923,-0.015270997623866744
A09,8,C1,0.3260436495831304,0.043942604940104935,-0.2821010446430255,-86.52247789635264,-0.018939393939393923,-0.015270997623866744
A09,9,Cz,0.37283625648875596,0.05849273459495802,-0.31434352189379794,-84.31141457490682,-0.018939393939393923,-0.015270997623866744
A09,10,C2,0.41084260153181784,0.05970118266434596,-0.35114141886747186,-85.46859978937155,-0.018939393939393923,-0.015270997623866744
A09,11,C4,0.3680785558735462,0.07875503497590884,-0.28932352089763735,-78.60374267416839,-0.018939393939393923,-0.015270997623866744
A09,12,C6,0.4123355908261428,0.1164490939243712,-0.2958864969017716,-71.75866053884474,-0.018939393939393923,-0.015270997623866744
A09,13,CP3,0.09080036487501242,0.04093250289982083,-0.04986786197519159,-54.92033214165514,-0.018939393939393923,-0.015270997623866744
A09,14,CP1,0.19933208306617956,0.01999110037769617,-0.1793409826884834,-89.97095697281256,-0.018939393939393923,-0.015270997623866744
A09,15,CPz,0.2515442775952746,0.030347182041215264,-0.22119709555405934,-87.93565000510854,-0.018939393939393923,-0.015270997623866744
A09,16,CP2,0.30408205422370227,0.041140341705234444,-0.2629417125184678,-86.47064463890757,-0.018939393939393923,-0.015270997623866744
A09,17,CP4,0.3003942109666144,0.06893113821679193,-0.23146307274982247,-77.05310698399148,-0.018939393939393923,-0.015270997623866744
A09,18,P1,0.09669929070101452,0.02982213490564493,-0.06687715579536958,-69.1599238324795,-0.018939393939393923,-0.015270997623866744
A09,19,Pz,0.15974920467704484,0.012735707532810761,-0.1470134971442341,-92.02768642350505,-0.018939393939393923,-0.015270997623866744
A09,20,P2,0.20403763096215866,0.024194599948537242,-0.17984303101362142,-88.14208936143528,-0.018939393939393923,-0.015270997623866744
A09,21,POz,0.09171578144833947,0.01696549596749551,-0.07475028548084396,-81.50209734946039,-0.018939393939393923,-0.015270997623866744
