Subject,Band,Low_Hz,High_Hz,Raw_Absolute_Power,Clean_Absolute_Power,Absolute_Power_Change,Absolute_Power_Change_Percent,Raw_Relative_Power,Clean_Relative_Power,Relative_Power_Change,Relative_Power_Change_Percent,Delta_Accuracy,Delta_F1
A04,Beta,13.0,30.0,12.589640744481446,10.381203550371517,-2.20843719410993,-17.54170145862167,0.3556641380304347,0.3516547338744174,-0.004009404156017249,-1.1273006545501527,-0.02631578947368418,-0.027482121801537418
A04,Gamma,30.0,38.0,1.962670802222576,1.5416805393096698,-0.4209902629129063,-21.449866296281918,0.056278723648533834,0.053017484490662244,-0.00326123915787159,-5.7947994311995235,-0.02631578947368418,-0.027482121801537418
A05,Theta,4.0,8.0,11.286928498786569,9.080842869271187,-2.206085629515382,-19.545491315485457,0.21722322865105406,0.32126686541957883,0.10404363676852477,47.89710447387732,0.021739130434782594,0.06250575637185948
A05,Alpha_Mu,8.0,13.0,5.61335894884124,3.597425440018524,-2.015933508822716,-35.913140905390755,0.10820999107603747,0.12755947272102625,0.019349481644988772,17.881418760484134,0.021739130434782594,0.06250575637185948
A05,Beta,13.0,30.0,31.65513379800534,13.799654507556996,-17.855479290448343,-56.40626700359566,0.6134439780645135,0.4896692185337569,-0.12377475953075656,-20.177027398863743,0.021739130434782594,0.06250575637185948
A05,Gamma,30.0,38.0,3.145542118537802,1.6318761468797252,-1.513665971658077,-48.12098883488169,0.06102152424631629,0.058314284966891415,-0.0027072392794248723,-4.436531720343419,0.021739130434782594,0.06250575637185948
A06,Theta,4.0,8.0,26.198206811725363,19.415093638119874,-6.783113173605489,-25.891517012414816,0.4178283200035885,0.41474576680007824,-0.003082553203510252,-0.7377559289144828,0.0,0.002460527644751187
A06,Alpha_Mu,8.0,13.0,22.910926228451324,18.660517470758737,-4.250408757692586,-18.551885311447293,0.369706343889304,0.39219916713066527,0.02249282324136126,6.083970051673219,0.0,0.002460527644751187
A06,Beta,13.0,30.0,13.222546547296538,9.525266842452409,-3.6972797048441297,-27.961933744147565,0.21463198940806766,0.20390562912854604,-0.010726360279521618,-4.997558988808605,0.0,0.002460527644751187
A06,Gamma,30.0,38.0,2.2226527127502953,1.5125288280194875,-0.7101238847308078,-31.949385554349846,0.0364567832394787,0.03302099881501596,-0.00343578442446274,-9.424266540176156,0.0,0.002460527644751187
A07,Theta,4.0,8.0,9.692008645746668,7.667514505027706,-2.0244941407189625,-20.88828244707985,0.24878391145499504,0.23736374808819363,-0.011420163366801406,-4.590394652134614,0.06137184115523464,0.06590353977961971
A07,Alpha_Mu,8.0,13.0,15.020000610857295,12.110193366709511,-2.9098072441477836,-19.37288366050007,0.3842150754409425,0.36754611839851165,-0.016668957042430876,-4.338444300578479,0.06137184115523464,0.06590353977961971
A07,Beta,13.0,30.0,13.584503160180128,11.890375004181422,-1.6941281559987065,-12.47103509066608,0.3517943424931378,0.37295008291865467,0.021155740425516878,6.013667040688566,0.06137184115523464,0.06590353977961971
A07,Gamma,30.0,38.0,1.066244332970756,1.11603731483906,0.049792981868304054,4.669941056527962,0.027916561546794772,0.035590723923253395,0.007674162376458623,27.48964038280613,0.06137184115523464,0.06590353977961971
A08,Theta,4.0,8.0,12.221081879309672,7.614038756233301,-4.607043123076371,-37.69750639569897,0.13102029147928893,0.1697264286116602,0.03870613713237128,29.54209359127381,0.0,-0.0021923887083538096
A08,Alpha_Mu,8.0,13.0,37.44261787155609,25.709567070594307,-11.73305080096178,-31.336085636990113,0.39851209453632724,0.5188953224501026,0.12038322791377537,30.20817424721888,0.0,-0.0021923887083538096
