Subject,Class_ID,Class,Channel,Band,Baseline_Start_s,Baseline_End_s,MI_Start_s,MI_End_s,N_Class_Trials,Raw_Baseline_Power,Raw_MI_Power,Clean_Baseline_Power,Clean_MI_Power,Raw_ERD_ERS_Percent,Clean_ERD_ERS_Percent,Delta_ERD_ERS_Percent,Delta_Accuracy,Delta_F1
A03,1,Left_Hand,C4,Beta,0.0,2.0,3.25,4.0,67,25.9727581625611,21.97225590400054,10.182994572974614,7.658283483804208,-15.402685511956912,-24.793405035004845,-9.390719523047933,-0.0036630036630036,-0.0015693192651327
A03,2,Right_Hand,C3,Mu,0.0,2.0,3.25,4.0,70,29.420097034399294,6.8243626639141866,30.72605899995079,4.5457966656839455,-76.80373842433082,-85.20540279606938,-8.401664371738562,-0.0036630036630036,-0.0015693192651327
A03,2,Right_Hand,C3,Beta,0.0,2.0,3.25,4.0,70,23.88015274558597,23.678453893220144,10.056266153779964,8.317951981926358,-0.8446296575850152,-17.285880716273933,-16.44125105868892,-0.0036630036630036,-0.0015693192651327
A03,2,Right_Hand,Cz,Mu,0.0,2.0,3.25,4.0,70,17.532884549225432,10.329871189762535,15.194840469337974,6.82822489698251,-41.08287680352461,-55.06221397479035,-13.97933717126574,-0.0036630036630036,-0.0015693192651327
A03,2,Right_Hand,Cz,Beta,0.0,2.0,3.25,4.0,70,24.255461259585985,24.70283409981243,8.826624484324643,8.250188452383325,1.8444210787771436,-6.530650906979851,-8.375071985756994,-0.0036630036630036,-0.0015693192651327
A03,2,Right_Hand,C4,Mu,0.0,2.0,3.25,4.0,70,21.49111265658892,12.457088526914248,18.501965097417138,8.552160292725947,-42.03609312384545,-53.77701639962362,-11.740923275778172,-0.0036630036630036,-0.0015693192651327
A03,2,Right_Hand,C4,Beta,0.0,2.0,3.25,4.0,70,25.928658712993315,25.112001197367917,9.96571184035008,8.840055781601695,-3.149632708213048,-11.295290058364056,-8.145657350151007,-0.0036630036630036,-0.0015693192651327
A03,3,Feet,C3,Mu,0.0,2.0,3.25,4.0,68,28.041004524226928,16.30880406863949,28.83329153638334,15.281647812262849,-41.839444251901206,-46.99998856190199,-5.16054431000078,-0.0036630036630036,-0.0015693192651327
A03,3,Feet,C3,Beta,0.0,2.0,3.25,4.0,68,23.52279518617851,25.07475165274229,10.026586351556984,9.97454193968596,6.5976702780442125,-0.5190641166017198,-7.116734394645932,-0.0036630036630036,-0.0015693192651327
A03,3,Feet,Cz,Mu,0.0,2.0,3.25,4.0,68,17.33545482980386,12.544107223317935,15.038808500939645,9.972950219638737,-27.63900718802116,-33.685236971958595,-6.046229783937438,-0.0036630036630036,-0.0015693192651327
A03,3,Feet,Cz,Beta,0.0,2.0,3.25,4.0,68,23.38091666169613,24.536853454060093,8.700799525784035,8.293125572665037,4.943932734072962,-4.68547691405653,-9.629409648129492,-0.0036630036630036,-0.0015693192651327
A03,3,Feet,C4,Mu,0.0,2.0,3.25,4.0,68,21.71986685621289,13.900171200768964,18.76529562311416,11.7115566896802,-36.002502718872655,-37.58927690297155,-1.5867741840988927,-0.0036630036630036,-0.0015693192651327
A03,3,Feet,C4,Beta,0.0,2.0,3.25,4.0,68,23.748535021001977,25.244638441097443,9.211382720144396,9.06075984537709,6.299771412309544,-1.6351820279695042,-7.934953440279048,-0.0036630036630036,-0.0015693192651327
A03,4,Tongue,C3,Mu,0.0,2.0,3.25,4.0,68,30.125707666855707,18.594040313623797,31.08562387917893,18.699120843792457,-38.27849450294795,-39.8464032233322,-1.5679087203842528,-0.0036630036630036,-0.0015693192651327
A03,4,Tongue,C3,Beta,0.0,2.0,3.25,4.0,68,24.84460083355913,24.968306642564805,10.456194574632196,11.138116343940116,0.4979182794459253,6.521701221611415,6.023782942165489,-0.0036630036630036,-0.0015693192651327
A03,4,Tongue,Cz,Mu,0.0,2.0,3.25,4.0,68,19.38003210569595,14.7730741692006,16.04533607199588,12.534105733721578,-23.771673397491888,-21.883183515253855,1.88848988223803,-0.0036630036630036,-0.0015693192651327
A03,4,Tongue,Cz,Beta,0.0,2.0,3.25,4.0,68,24.84609254906065,24.164174718542345,9.135000124386778,9.42807342868089,-2.744567698811292,3.2082463087405046,5.952814007551797,-0.0036630036630036,-0.0015693192651327
A03,4,Tongue,C4,Mu,0.0,2.0,3.25,4.0,68,24.283509520219948,16.417773603398594,20.493400938963863,14.191040812184596,-32.39126498693088,-30.75311972644013,1.6381452604907525,-0.0036630036630036,-0.0015693192651327
A03,4,Tongue,C4,Beta,0.0,2.0,3.25,4.0,68,25.838030333127566,24.107825132855066,9.853209444699091,10.3209563475377,-6.69635099101999,4.747152747171148,11.443503738191138,-0.0036630036630036,-0.0015693192651327
A04,1,Left_Hand,C3,Mu,0.0,2.0,3.25,4.0,59,5.536631052918897,3.2679693522460536,4.5614599687313,2.6422502018251177,-40.97548995027221,-42.07446256378218,-1.0989726135099716,-0.0263157894736841,-0.0274821218015374
A04,1,Left_Hand,C3,Beta,0.0,2.0,3.25,4.0,59,12.066916944515487,10.445126221621324,10.30250942174722,8.735025268740236,-13.439975847609915,-15.214585969686976,-1.7746101220770605,-0.0263157894736841,-0.0274821218015374
A04,1,Left_Hand,Cz,Mu,0.0,2.0,3.25,4.0,59,9.101322469889425,5.047971668927518,7.276177644383569,4.036168691187205,-44.53584426188018,-44.52899738775425,0.0068468741259266,-0.0263157894736841,-0.0274821218015374
A04,1,Left_Hand,Cz,Beta,0.0,2.0,3.25,4.0,59,13.487400104860278,11.190614046323285,11.212346730885502,8.759511756876648,-17.029123779824403,-21.87619624045394,-4.847072460629537,-0.0263157894736841,-0.0274821218015374
A04,1,Left_Hand,C4,Mu,0.0,2.0,3.25,4.0,59,8.347645076339338,4.334786150867809,6.6890243423261255,3.36990777730248,-48.07174824484503,-49.62033915799622,-1.5485909131511877,-0.0263157894736841,-0.0274821218015374
A04,1,Left_Hand,C4,Beta,0.0,2.0,3.25,4.0,59,13.457588198480838,11.845986985595456,10.537296715697831,9.26819363449038,-11.975408885428584,-12.04391520376093,-0.0685063183323464,-0.0263157894736841,-0.0274821218015374
A04,2,Right_Hand,C3,Mu,0.0,2.0,3.25,4.0,57,6.019200251450309,3.818669176602364,4.969621714792448,2.9166777832215227,-36.55852908893284,-41.3098631926002,-4.751334103667361,-0.0263157894736841,-0.0274821218015374
A04,2,Right_Hand,C3,Beta,0.0,2.0,3.25,4.0,57,11.865432707629616,9.743502279794608,10.192482464627018,8.346585920480019,-17.883295789713607,-18.110372527527,-0.2270767378133911,-0.0263157894736841,-0.0274821218015374
A04,2,Right_Hand,Cz,Mu,0.0,2.0,3.25,4.0,57,8.825029238616535,5.340884057825536,6.927266693690231,4.039661090923154,-39.48026784483265,-41.6846316224098,-2.20436377757715,-0.0263157894736841,-0.0274821218015374
A04,2,Right_Hand,Cz,Beta,0.0,2.0,3.25,4.0,57,13.203762305750637,10.752962143073434,10.79281907967424,8.873508571754966,-18.56137747655166,-17.783217653797887,0.7781598227537714,-0.0263157894736841,-0.0274821218015374
A04,2,Right_Hand,C4,Mu,0.0,2.0,3.25,4.0,57,7.249032756024782,5.205059735757486,5.781240189329402,3.922085392043243,-28.19649309169194,-32.1584078225522,-3.961914730860258,-0.0263157894736841,-0.0274821218015374
A04,2,Right_Hand,C4,Beta,0.0,2.0,3.25,4.0,57,13.13547973816198,13.326930727888062,10.445603065667706,11.204728980940033,1.4575104491223938,7.26742066015629,5.8099102110338965,-0.0263157894736841,-0.0274821218015374
A04,3,Feet,C3,Mu,0.0,2.0,3.25,4.0,59,5.362269525758502,4.941208973662428,4.72514338539898,4.186282920019604,-7.852282509735206,-11.404108223347857,-3.5518257136126508,-0.0263157894736841,-0.0274821218015374
A04,3,Feet,C3,Beta,0.0,2.0,3.25,4.0,59,11.237118641774522,11.292394359939234,9.42283056143619,9.384385574157935,0.4919029506302143,-0.4079982870071737,-0.899901237637388,-0.0263157894736841,-0.0274821218015374
A04,3,Feet,Cz,Mu,0.0,2.0,3.25,4.0,59,7.256554706495301,7.236015729222079,6.061892783409078,5.7847138267537765,-0.2830403422003347,-4.572482004529559,-4.289441662329224,-0.0263157894736841,-0.0274821218015374
A04,3,Feet,Cz,Beta,0.0,2.0,3.25,4.0,59,12.580893351240643,13.657454220130395,10.100788841748324,10.921768703951892,8.557109887458852,8.127878674289617,-0.4292312131692348,-0.0263157894736841,-0.0274821218015374
A04,3,Feet,C4,Mu,0.0,2.0,3.25,4.0,59,7.065294475824746,5.985654360097888,6.069545572397952,4.544947873277577,-15.28089337848408,-25.118811300362093,-9.837917921878017,-0.0263157894736841,-0.0274821218015374
A04,3,Feet,C4,Beta,0.0,2.0,3.25,4.0,59,11.80002895204652,14.513187990150518,9.146510098064502,11.552191217422193,22.99281678993859,26.30162863829882,3.3088118483602287,-0.0263157894736841,-0.0274821218015374
A04,4,Tongue,C3,Mu,0.0,2.0,3.25,4.0,53,6.555410956634356,3.9714769156807694,5.253498741541388,3.161112092284378,-39.416812432455366,-39.82844104846403,-0.4116286160086631,-0.0263157894736841,-0.0274821218015374
A04,4,Tongue,C3,Beta,0.0,2.0,3.25,4.0,53,12.10204196435053,10.793367239470674,10.18013787928386,9.059779700291006,-10.81366870760127,-11.00533403651265,-0.1916653289113803,-0.0263157894736841,-0.0274821218015374
A04,4,Tongue,Cz,Mu,0.0,2.0,3.25,4.0,53,9.558820236619336,6.09295856884486,7.277341164242124,4.957407810981536,-36.25825762991734,-31.878859337521128,4.3793982923962105,-0.0263157894736841,-0.0274821218015374
A04,4,Tongue,Cz,Beta,0.0,2.0,3.25,4.0,53,12.548427384928535,12.04491448010179,10.15131377027551,9.520158083630154,-4.012557824030259,-6.21747786472138,-2.204920040691121,-0.0263157894736841,-0.0274821218015374
A04,4,Tongue,C4,Mu,0.0,2.0,3.25,4.0,53,8.330823677152459,5.243433654264467,6.255340377283109,4.229971784868232,-37.05984116978593,-32.3782315630638,4.681609606722134,-0.0263157894736841,-0.0274821218015374
A04,4,Tongue,C4,Beta,0.0,2.0,3.25,4.0,53,12.44859383123278,14.067874501728328,9.8810913087632,11.21255577219728,13.007739608571212,13.474872580654267,0.4671329720830552,-0.0263157894736841,-0.0274821218015374
A05,1,Left_Hand,C3,Mu,0.0,2.0,3.25,4.0,70,4.547974422157658,2.565455317547731,2.76575284355718,1.7802536169548244,-43.59125449234477,-35.63222320814816,7.959031284196612,0.0217391304347825,0.0625057563718594
A05,1,Left_Hand,C3,Beta,0.0,2.0,3.25,4.0,70,30.989359358855765,29.016309795802737,13.715464271002684,12.495797644714752,-6.366861412671088,-8.892638281785834,-2.525776869114746,0.0217391304347825,0.0625057563718594
A05,1,Left_Hand,Cz,Mu,0.0,2.0,3.25,4.0,70,5.200164495419162,3.273788237146265,3.089205380605276,2.3344058677907604,-37.04452541779161,-24.433451966420613,12.611073451371,0.0217391304347825,0.0625057563718594
A05,1,Left_Hand,Cz,Beta,0.0,2.0,3.25,4.0,70,32.10574759115496,30.83743590208217,13.467542634235151,12.664727797610176,-3.950419424035357,-5.961108558766488,-2.0106891347311304,0.0217391304347825,0.0625057563718594
A05,1,Left_Hand,C4,Mu,0.0,2.0,3.25,4.0,70,4.956504702886094,2.7744702896350018,2.712235922613075,1.7242778582729943,-44.02365263529535,-36.42596339435983,7.597689240935516,0.0217391304347825,0.0625057563718594
A05,1,Left_Hand,C4,Beta,0.0,2.0,3.25,4.0,70,31.01568370717015,29.74192261107937,11.8834307995381,10.87851132032548,-4.10682900985437,-8.45647604773863,-4.349647037884259,0.0217391304347825,0.0625057563718594
A05,2,Right_Hand,C3,Mu,0.0,2.0,3.25,4.0,65,4.0212375348879865,2.675898229848414,2.381079540448492,1.8684880543551257,-33.455852666428285,-21.527692686679465,11.928159979748823,0.0217391304347825,0.0625057563718594
A05,2,Right_Hand,C3,Beta,0.0,2.0,3.25,4.0,65,31.01857995625449,30.814279266574957,13.697595526568298,13.049819902741934,-0.6586397248605853,-4.729119228041669,-4.070479503181083,0.0217391304347825,0.0625057563718594
