Subject,EEG_Channel_Index,EEG_Channel,Raw_EOG_Coupling,Clean_EOG_Coupling,Coupling_Change,Coupling_Change_Percent,Delta_Accuracy,Delta_F1
A09,2,FC1,0.4625804129920969,0.0742721210569627,-0.3883082919351341,-83.94395461395558,-0.0189393939393939,-0.0152709976238667
A09,3,FCz,0.4797993914330224,0.080638186378824,-0.3991612050541984,-83.19335376020777,-0.0189393939393939,-0.0152709976238667
A09,4,FC2,0.511449816150137,0.084482856723794,-0.4269669594263429,-83.48169183836525,-0.0189393939393939,-0.0152709976238667
A09,5,FC4,0.5375641920981279,0.1031933244635184,-0.4343708676346094,-80.80353453961433,-0.0189393939393939,-0.0152709976238667
A09,6,C5,0.2711310743584136,0.0241436415678416,-0.2469874327905719,-91.09521414136184,-0.0189393939393939,-0.0152709976238667
A09,7,C3,0.2423002990583275,0.0257598075058722,-0.2165404915524553,-89.36864394885818,-0.0189393939393939,-0.0152709976238667
A09,8,C1,0.3260436495831304,0.0439426049401049,-0.2821010446430255,-86.52247789635264,-0.0189393939393939,-0.0152709976238667
A09,9,Cz,0.3728362564887559,0.058492734594958,-0.3143435218937979,-84.31141457490682,-0.0189393939393939,-0.0152709976238667
A09,10,C2,0.4108426015318178,0.0597011826643459,-0.3511414188674718,-85.46859978937155,-0.0189393939393939,-0.0152709976238667
A09,11,C4,0.3680785558735462,0.0787550349759088,-0.2893235208976373,-78.60374267416839,-0.0189393939393939,-0.0152709976238667
A09,12,C6,0.4123355908261428,0.1164490939243712,-0.2958864969017716,-71.75866053884474,-0.0189393939393939,-0.0152709976238667
A09,13,CP3,0.0908003648750124,0.0409325028998208,-0.0498678619751915,-54.92033214165514,-0.0189393939393939,-0.0152709976238667
A09,14,CP1,0.1993320830661795,0.0199911003776961,-0.1793409826884834,-89.97095697281256,-0.0189393939393939,-0.0152709976238667
A09,15,CPz,0.2515442775952746,0.0303471820412152,-0.2211970955540593,-87.93565000510854,-0.0189393939393939,-0.0152709976238667
A09,16,CP2,0.3040820542237022,0.0411403417052344,-0.2629417125184678,-86.47064463890757,-0.0189393939393939,-0.0152709976238667
A09,17,CP4,0.3003942109666144,0.0689311382167919,-0.2314630727498224,-77.05310698399148,-0.0189393939393939,-0.0152709976238667
A09,18,P1,0.0966992907010145,0.0298221349056449,-0.0668771557953695,-69.1599238324795,-0.0189393939393939,-0.0152709976238667
A09,19,Pz,0.1597492046770448,0.0127357075328107,-0.1470134971442341,-92.02768642350505,-0.0189393939393939,-0.0152709976238667
A09,20,P2,0.2040376309621586,0.0241945999485372,-0.1798430310136214,-88.14208936143528,-0.0189393939393939,-0.0152709976238667
A09,21,POz,0.0917157814483394,0.0169654959674955,-0.0747502854808439,-81.50209734946039,-0.0189393939393939,-0.0152709976238667
