Subject,Channel,Window_Start_s,Window_End_s,Window_Center_s,Raw_Four_Class_D,Clean_Four_Class_D,Delta_Four_Class_D,Raw_Hand_vs_NonHand_D,Clean_Hand_vs_NonHand_D,Delta_Hand_vs_NonHand_D,Raw_Left_vs_Right_D,Clean_Left_vs_Right_D,Delta_Left_vs_Right_D,Raw_Left_vs_Others_D,Clean_Left_vs_Others_D,Delta_Left_vs_Others_D,Raw_Right_vs_Others_D,Clean_Right_vs_Others_D,Delta_Right_vs_Others_D,Delta_Accuracy,Delta_F1
A07,C4,2.4000000000000004,2.9000000000000004,2.6500000000000004,0.0081063234720381,0.0280196590317827,0.0199133355597446,0.0045790282042061,0.0224675643597692,0.017888536155563,0.0077874048811014,0.0168542137669033,0.0090668088858018,0.0073288019792726,0.0212968303678815,0.0139680283886089,6.494579088812843e-05,0.0006551745700862,0.0005902287791981,0.0613718411552346,0.0659035397796197
A07,C4,2.5,3.0,2.75,0.0047652563553417,0.0140825331039726,0.0093172767486309,0.0030661045701674,0.0084553332050239,0.0053892286348565,0.0040049910093458,0.0104445183549529,0.006439527345607,0.0042099361191839,0.0105120817798908,0.0063021456607068,2.0993063093354677e-06,8.356292517726347e-06,6.256986208390881e-06,0.0613718411552346,0.0659035397796197
A07,C4,2.6,3.1,2.85,0.005364385467072,0.0115041771190025,0.0061397916519304,0.0002331725897782,0.0008055668921564,0.0005723943023782,0.0085609872869579,0.0099380284200415,0.0013770411330835,0.0045089231981823,0.006295989934327,0.0017870667361446,0.002504626864567,0.0022188404005683,-0.0002857864639987,0.0613718411552346,0.0659035397796197
A07,C4,2.7,3.2,2.95,0.0152420298300822,0.0153975591837659,0.0001555293536836,0.0014698649129251,0.0035633343379095,0.0020934694249844,0.0243417297109544,0.0180624785305159,-0.0062792511804385,0.0138634894166927,0.0134860292013695,-0.0003774602153231,0.0054700477455652,0.0022675759732559,-0.0032024717723093,0.0613718411552346,0.0659035397796197
A07,C4,2.8000000000000003,3.3000000000000003,3.0500000000000003,0.0111981159165369,0.0128754265950079,0.001677310678471,0.0060461358116818,0.0082364461185123,0.0021903103068305,0.0061091132161263,0.0024697727370144,-0.0036393404791118,0.0083072180818254,0.0066828567589002,-0.0016243613229252,4.046015887845298e-06,0.0004946250090145,0.0004905789931266,0.0613718411552346,0.0659035397796197
A07,C4,2.9000000000000004,3.4000000000000004,3.1500000000000004,0.0254307956161356,0.0361534822492485,0.0107226866331128,0.0141735274601302,0.0142352047086373,6.167724850712417e-05,0.0028074953072271,0.0043369915734324,0.0015294962662052,0.0014983010988274,0.0009576566350223,-0.000540644463805,0.009620674419051,0.0113053786972147,0.0016847042781636,0.0613718411552346,0.0659035397796197
A07,C4,3.0,3.5,3.25,0.0352216241323829,0.027894178743026,-0.0073274453893569,0.0245159835218169,0.0203896238464083,-0.0041263596754086,4.564325123198188e-05,7.416413072663168e-07,-4.490160992471557e-05,0.0075267232528571,0.0067088289873409,-0.0008178942655162,0.0084567026019776,0.0066050732577621,-0.0018516293442155,0.0613718411552346,0.0659035397796197
A07,C4,3.1,3.6,3.35,0.0286042162021129,0.0355304211708462,0.0069262049687332,0.022654449140041,0.0310786522192659,0.0084242030792248,0.0078290064433616,0.0106809315019147,0.002851925058553,0.0171406531739886,0.0232007584492952,0.0060601052753066,0.0016848493108666,0.0023764429557836,0.000691593644917,0.0613718411552346,0.0659035397796197
A07,C4,3.2,3.7,3.45,0.0280446711877209,0.0349123182668367,0.0068676470791157,0.0146971613201251,0.0213839124340144,0.0066867511138892,0.0265123557944172,0.0495163642931447,0.0230040084987274,0.0224690489492068,0.0307438665980563,0.0082748176488494,0.0001106899353517,5.006832165136185e-05,-6.062161370037999e-05,0.0613718411552346,0.0659035397796197
A07,C4,3.3000000000000003,3.8,3.5500000000000003,0.0387862711188925,0.0431109743364866,0.004324703217594,0.0188773410459621,0.0231159273850456,0.0042385863390834,0.0361039028672613,0.0507992824234979,0.0146953795562366,0.0291797098745368,0.035476255806612,0.0062965459320752,0.0001594793168336,0.0001713952055126,1.191588867901564e-05,0.0613718411552346,0.0659035397796197
