Subject,Condition,Accuracy,Macro_F1,Best_Validation_Accuracy,Inference_ms,Training_Trials,Validation_Trials,Test_Trials,Raw_Accuracy,Raw_Macro_F1,Accuracy_Change,F1_Change,Dominant_Band,Theta_Absolute_Power,Theta_Relative_Power,Alpha_Mu_Absolute_Power,Alpha_Mu_Relative_Power,Beta_Absolute_Power,Beta_Relative_Power,Gamma_Absolute_Power,Gamma_Relative_Power
A04,Theta_Clean,0.4692982456140351,0.4668418258565177,0.4528301886792453,20.9958553314209,209,53,228,0.4385964912280701,0.4330969183721477,0.030701754385965,0.0337449074843699,Beta,7.195527871910438,30.21805119478501,6.031690354643459,25.330445684079432,9.42792239157459,39.59312597498433,1.1568776537587198,4.858377146151216
A04,Alpha_Mu_Clean,0.5131578947368421,0.5098628179134944,0.5849056603773585,24.915456771850582,209,53,228,0.4385964912280701,0.4330969183721477,0.074561403508772,0.0767658995413467,Beta,7.195527871910438,30.21805119478501,6.031690354643459,25.330445684079432,9.42792239157459,39.59312597498433,1.1568776537587198,4.858377146151216
A04,Beta_Clean,0.4122807017543859,0.4078779599271402,0.4528301886792453,20.45154571533203,209,53,228,0.4385964912280701,0.4330969183721477,-0.0263157894736841,-0.0252189584450074,Beta,7.195527871910438,30.21805119478501,6.031690354643459,25.330445684079432,9.42792239157459,39.59312597498433,1.1568776537587198,4.858377146151216
A04,Gamma_Clean,0.4605263157894737,0.4595747844186738,0.490566037735849,21.03900909423828,209,53,228,0.4385964912280701,0.4330969183721477,0.0219298245614035,0.026477866046526,Beta,7.195527871910438,30.21805119478501,6.031690354643459,25.330445684079432,9.42792239157459,39.59312597498433,1.1568776537587198,4.858377146151216
A05,Raw,0.3152173913043478,0.2458182770358732,0.3962264150943396,24.67012405395508,209,53,276,0.3152173913043478,0.2458182770358732,0.0,0.0,Theta,9.377752205326315,39.58986986560438,4.719838107966055,19.92564661443776,8.494081829360494,35.859296224651665,1.0955797658806687,4.625187295306202
A05,All_Clean,0.3442028985507246,0.2866100043493601,0.4716981132075472,25.334835052490234,209,53,276,0.3152173913043478,0.2458182770358732,0.0289855072463768,0.0407917273134869,Theta,9.377752205326315,39.58986986560438,4.719838107966055,19.92564661443776,8.494081829360494,35.859296224651665,1.0955797658806687,4.625187295306202
A05,Theta_Clean,0.3115942028985507,0.2548347434497816,0.3773584905660377,33.9512825012207,209,53,276,0.3152173913043478,0.2458182770358732,-0.003623188405797,0.0090164664139083,Theta,9.377752205326315,39.58986986560438,4.719838107966055,19.92564661443776,8.494081829360494,35.859296224651665,1.0955797658806687,4.625187295306202
A05,Alpha_Mu_Clean,0.3840579710144927,0.3800229181331034,0.5849056603773585,26.83234214782715,209,53,276,0.3152173913043478,0.2458182770358732,0.0688405797101449,0.1342046410972302,Theta,9.377752205326315,39.58986986560438,4.719838107966055,19.92564661443776,8.494081829360494,35.859296224651665,1.0955797658806687,4.625187295306202
A05,Beta_Clean,0.3768115942028985,0.3776540654772821,0.4528301886792453,25.730133056640625,209,53,276,0.3152173913043478,0.2458182770358732,0.0615942028985507,0.1318357884414089,Theta,9.377752205326315,39.58986986560438,4.719838107966055,19.92564661443776,8.494081829360494,35.859296224651665,1.0955797658806687,4.625187295306202
A05,Gamma_Clean,0.2898550724637681,0.2447866519916605,0.4150943396226415,30.255794525146484,209,53,276,0.3152173913043478,0.2458182770358732,-0.0253623188405796,-0.0010316250442126,Theta,9.377752205326315,39.58986986560438,4.719838107966055,19.92564661443776,8.494081829360494,35.859296224651665,1.0955797658806687,4.625187295306202
