Subject,Window_Index,Window_Start_s,Window_End_s,Overall_Central_R2,Theta_Central_R2,Alpha_Mu_Central_R2,Beta_Central_R2,Gamma_Central_R2
A07,14,3.472,3.972,0.2198177072297743,0.2389928985438338,0.3119729606168391,0.1911164260898513,0.108149561192949
A08,0,0.0,0.5,0.4382494905466884,0.3957602391972634,0.3568908393371507,0.5237042770607516,0.5947460911880552
A08,1,0.248,0.748,0.4301024273392932,0.3375665568827285,0.3368153290342666,0.5637486506790476,0.6621507756041378
A08,2,0.496,0.996,0.4804457920858228,0.3418884762897057,0.3971753764096294,0.6031484660953566,0.7257662373379669
A08,3,0.744,1.244,0.5095079443071632,0.3665996658964498,0.4116820473487875,0.6256141757081675,0.7421407655703998
A08,4,0.992,1.492,0.5075427140803184,0.3543186031373957,0.4100853717198793,0.6289964303002795,0.7655682131183884
A08,5,1.24,1.74,0.5074456957844441,0.3452563921174088,0.3987288404149651,0.6365555930865477,0.7787212281455747
A08,6,1.488,1.988,0.5094587725222987,0.3623313176317437,0.3864553975809973,0.6519806460675026,0.781066980794451
A08,7,1.736,2.236,0.4897412496172795,0.3545927909290228,0.3544690898063922,0.6489021472959718,0.7709076659788152
A08,8,1.984,2.484,0.4384695936664901,0.2989028022834438,0.3447452664078448,0.583372764952601,0.7098521873038358
A08,9,2.232,2.732,0.4638960103119968,0.2966420938753254,0.3876440080270352,0.5873963411874924,0.6956687587342727
A08,10,2.48,2.98,0.5182065361760912,0.3363189637020128,0.4259700309334784,0.6416004894839155,0.7507536790404612
A08,11,2.728,3.228,0.5208904074943533,0.337049481604164,0.4371624715516086,0.6493177657713367,0.7651964711536474
A08,12,2.976,3.476,0.5190094990047232,0.3346179536843706,0.427942380893014,0.6560818693910534,0.7830995114683938
A08,13,3.224,3.724,0.5287281852251828,0.3233237360833238,0.4320569668655035,0.6609295424684696,0.7897769619107483
A08,14,3.472,3.972,0.5515943852032821,0.3385293891895845,0.456508142937526,0.6652849623757646,0.79025970305559
A09,0,0.0,0.5,0.2528161110644014,0.3046181475370711,0.2568514311144816,0.2319644611651234,0.1597084142957663
A09,1,0.248,0.748,0.2126291535402873,0.3007594951726602,0.2303085010980453,0.2404380656434487,0.1616638208946043
A09,2,0.496,0.996,0.2234606826068171,0.2889908635659067,0.2529679472129871,0.2553082667186778,0.1686558334561501
A09,3,0.744,1.244,0.2302676751117992,0.256371113732332,0.2738902822337838,0.2510461939262332,0.1636227206602602
A09,4,0.992,1.492,0.2329155825676661,0.2415285100510954,0.271692498037809,0.2567639025749759,0.1539117846877054
A09,5,1.24,1.74,0.2382069517005698,0.2481573835399683,0.2697957053282528,0.2603161221162013,0.1485327154231706
A09,6,1.488,1.988,0.2278012131628968,0.2325845542271782,0.2590474465691362,0.2542846243827133,0.1691576721883665
A09,7,1.736,2.236,0.2097414056100718,0.1932617819903952,0.2496480207684044,0.2453126239289023,0.1735303170329664
A09,8,1.984,2.484,0.1419528709516209,0.1470702641064947,0.2119269946186151,0.2227113632102593,0.1464345797079895
A09,9,2.232,2.732,0.1333362214005433,0.140747702376601,0.2025918207021955,0.2189988269989959,0.1296476747283388
A09,10,2.48,2.98,0.1827675626978781,0.172057106513696,0.243616219303058,0.2491982407132216,0.1363949095074453
A09,11,2.728,3.228,0.2042420195902765,0.1993796120377122,0.2663809419448563,0.2639791768840612,0.1409320103465328
A09,12,2.976,3.476,0.231264027720548,0.2269216097930337,0.2713356484898012,0.2831865533080331,0.1586798784633772
A09,13,3.224,3.724,0.2278646863303308,0.2349800215842343,0.2694992153137442,0.2829110006520952,0.1665049204883964
A09,14,3.472,3.972,0.2311455810583112,0.2504402932972017,0.2668961517706708,0.2750467385784453,0.1763576277502339
