Subject,Channel,R2,R2_percent
A06,C1,0.2327192535961555,23.27192535961555
A06,Cz,0.2326951466250665,23.26951466250665
A06,C2,0.2677463989645411,26.77463989645411
A06,C4,0.2803048216520388,28.030482165203885
A06,C6,0.3827566053058785,38.27566053058785
A06,CP3,0.1529002659067813,15.29002659067813
A06,CP1,0.1629984634036103,16.299846340361036
A06,CPz,0.1761399251300299,17.613992513002998
A06,CP2,0.1962552292596345,19.625522925963452
A06,CP4,0.1987224527006205,19.87224527006205
A06,P1,0.1050929819105678,10.509298191056782
A06,Pz,0.1159658370046878,11.596583700468788
A06,P2,0.1076285630120833,10.762856301208334
A06,POz,0.0685838133471883,6.858381334718833
A07,Fz,0.8690154366184826,86.90154366184825
A07,FC3,0.6466195371171648,64.66195371171648
A07,FC1,0.6187085648038836,61.87085648038836
