Subject,Band,Low_Hz,High_Hz,Raw_Absolute_Power,Clean_Absolute_Power,Absolute_Power_Change,Absolute_Power_Change_Percent,Raw_Relative_Power,Clean_Relative_Power,Relative_Power_Change,Relative_Power_Change_Percent,Delta_Accuracy,Delta_F1
A04,Gamma,30.0,38.0,1.962670802222576,1.5416805393096698,-0.4209902629129063,-21.44986629628192,0.0562787236485338,0.0530174844906622,-0.0032612391578715,-5.794799431199524,-0.0263157894736841,-0.0274821218015374
A05,Theta,4.0,8.0,11.286928498786567,9.080842869271187,-2.206085629515382,-19.545491315485457,0.217223228651054,0.3212668654195788,0.1040436367685247,47.89710447387732,0.0217391304347825,0.0625057563718594
A05,Alpha_Mu,8.0,13.0,5.61335894884124,3.597425440018524,-2.015933508822716,-35.913140905390755,0.1082099910760374,0.1275594727210262,0.0193494816449887,17.881418760484134,0.0217391304347825,0.0625057563718594
A05,Beta,13.0,30.0,31.65513379800534,13.799654507556996,-17.855479290448343,-56.40626700359566,0.6134439780645135,0.4896692185337569,-0.1237747595307565,-20.177027398863743,0.0217391304347825,0.0625057563718594
A05,Gamma,30.0,38.0,3.145542118537802,1.6318761468797252,-1.513665971658077,-48.12098883488169,0.0610215242463162,0.0583142849668914,-0.0027072392794248,-4.436531720343419,0.0217391304347825,0.0625057563718594
A06,Theta,4.0,8.0,26.198206811725363,19.415093638119878,-6.783113173605489,-25.891517012414816,0.4178283200035885,0.4147457668000782,-0.0030825532035102,-0.7377559289144828,0.0,0.0024605276447511
A06,Alpha_Mu,8.0,13.0,22.910926228451324,18.660517470758737,-4.250408757692586,-18.551885311447293,0.369706343889304,0.3921991671306652,0.0224928232413612,6.083970051673219,0.0,0.0024605276447511
A06,Beta,13.0,30.0,13.222546547296538,9.525266842452409,-3.6972797048441297,-27.961933744147565,0.2146319894080676,0.203905629128546,-0.0107263602795216,-4.997558988808605,0.0,0.0024605276447511
A06,Gamma,30.0,38.0,2.2226527127502957,1.5125288280194875,-0.7101238847308078,-31.94938555434985,0.0364567832394787,0.0330209988150159,-0.0034357844244627,-9.424266540176156,0.0,0.0024605276447511
A07,Theta,4.0,8.0,9.692008645746668,7.667514505027706,-2.0244941407189625,-20.88828244707985,0.248783911454995,0.2373637480881936,-0.0114201633668014,-4.590394652134614,0.0613718411552346,0.0659035397796197
A07,Alpha_Mu,8.0,13.0,15.020000610857297,12.110193366709511,-2.909807244147784,-19.37288366050007,0.3842150754409425,0.3675461183985116,-0.0166689570424308,-4.338444300578479,0.0613718411552346,0.0659035397796197
A07,Beta,13.0,30.0,13.584503160180128,11.890375004181422,-1.6941281559987065,-12.47103509066608,0.3517943424931378,0.3729500829186546,0.0211557404255168,6.013667040688566,0.0613718411552346,0.0659035397796197
A07,Gamma,30.0,38.0,1.066244332970756,1.11603731483906,0.049792981868304,4.669941056527962,0.0279165615467947,0.0355907239232533,0.0076741623764586,27.48964038280613,0.0613718411552346,0.0659035397796197
A08,Theta,4.0,8.0,12.221081879309672,7.614038756233301,-4.607043123076371,-37.69750639569897,0.1310202914792889,0.1697264286116602,0.0387061371323712,29.54209359127381,0.0,-0.0021923887083538
A08,Alpha_Mu,8.0,13.0,37.44261787155609,25.709567070594307,-11.73305080096178,-31.336085636990116,0.3985120945363272,0.5188953224501026,0.1203832279137753,30.20817424721888,0.0,-0.0021923887083538
