Subject,Channel_Index,Channel,Raw_Class_R2,Clean_Class_R2,Class_R2_Change,Delta_Accuracy,Delta_F1
A04,2,FC1,0.0204494743524048,0.021410995935651,0.0009615215832461,-0.0263157894736841,-0.0274821218015374
A04,3,FCz,0.0173502174041739,0.0188437124133978,0.0014934950092238,-0.0263157894736841,-0.0274821218015374
A04,4,FC2,0.0183608746234854,0.0196073245824092,0.0012464499589238,-0.0263157894736841,-0.0274821218015374
A04,5,FC4,0.0157083082197774,0.0161126238860691,0.0004043156662916,-0.0263157894736841,-0.0274821218015374
A04,6,C5,0.0019914542762184,0.0012038608648784,-0.00078759341134,-0.0263157894736841,-0.0274821218015374
A04,7,C3,0.0177652184358742,0.0227353481134473,0.004970129677573,-0.0263157894736841,-0.0274821218015374
A04,8,C1,0.0359313153309431,0.0475604296838755,0.0116291143529323,-0.0263157894736841,-0.0274821218015374
A04,9,Cz,0.0321139751912137,0.0419037659225749,0.0097897907313611,-0.0263157894736841,-0.0274821218015374
A04,10,C2,0.030634976803072,0.0409636136335111,0.0103286368304391,-0.0263157894736841,-0.0274821218015374
A04,11,C4,0.0253245018278618,0.037648011698741,0.0123235098708791,-0.0263157894736841,-0.0274821218015374
A04,12,C6,0.0149074284220544,0.0185717250868612,0.0036642966648068,-0.0263157894736841,-0.0274821218015374
A04,13,CP3,0.0609431578678461,0.0782952635917725,0.0173521057239264,-0.0263157894736841,-0.0274821218015374
A04,14,CP1,0.0809561522313091,0.096929843683216,0.0159736914519068,-0.0263157894736841,-0.0274821218015374
A04,15,CPz,0.0696118993247313,0.0830515105767395,0.0134396112520081,-0.0263157894736841,-0.0274821218015374
A04,16,CP2,0.0649552407916017,0.0800526852520975,0.0150974444604958,-0.0263157894736841,-0.0274821218015374
A04,17,CP4,0.0550246090044774,0.0710533868822992,0.0160287778778218,-0.0263157894736841,-0.0274821218015374
A04,18,P1,0.1194890298707727,0.1273159625197684,0.0078269326489957,-0.0263157894736841,-0.0274821218015374
A04,19,Pz,0.0960534306767928,0.1017344313412288,0.005681000664436,-0.0263157894736841,-0.0274821218015374
A04,20,P2,0.0896567744399422,0.092494169979905,0.0028373955399627,-0.0263157894736841,-0.0274821218015374
A04,21,POz,0.1231285212409386,0.1218833233896714,-0.0012451978512672,-0.0263157894736841,-0.0274821218015374
A05,0,Fz,0.0112756217797141,0.0049836874527046,-0.0062919343270095,0.0217391304347825,0.0625057563718594
A05,1,FC3,0.0232849739115514,0.0192416358493012,-0.0040433380622501,0.0217391304347825,0.0625057563718594
A05,2,FC1,0.0167447531305292,0.0104896389010375,-0.0062551142294917,0.0217391304347825,0.0625057563718594
A05,3,FCz,0.0175434873475435,0.0130079447492391,-0.0045355425983043,0.0217391304347825,0.0625057563718594
A05,4,FC2,0.0131761454915199,0.0080621153065186,-0.0051140301850012,0.0217391304347825,0.0625057563718594
A05,5,FC4,0.0212451633830831,0.0144196621133096,-0.0068255012697734,0.0217391304347825,0.0625057563718594
A05,6,C5,0.0101745149012215,0.0057299225211405,-0.004444592380081,0.0217391304347825,0.0625057563718594
A05,7,C3,0.0219824761935878,0.015683473136193,-0.0062990030573948,0.0217391304347825,0.0625057563718594
A05,8,C1,0.016187703266791,0.0096174589167574,-0.0065702443500336,0.0217391304347825,0.0625057563718594
A05,9,Cz,0.0184687613122506,0.0146203244293745,-0.003848436882876,0.0217391304347825,0.0625057563718594
A05,10,C2,0.0135150048637707,0.0090451637390639,-0.0044698411247067,0.0217391304347825,0.0625057563718594
A05,11,C4,0.0187953862972855,0.0164774062130817,-0.0023179800842037,0.0217391304347825,0.0625057563718594
A05,12,C6,0.01203208987212,0.0098806883503763,-0.0021514015217436,0.0217391304347825,0.0625057563718594
A05,13,CP3,0.0176052171672707,0.0173714970264437,-0.000233720140827,0.0217391304347825,0.0625057563718594
A05,14,CP1,0.0154205028491732,0.0109929330263128,-0.0044275698228604,0.0217391304347825,0.0625057563718594
A05,15,CPz,0.0172130756023341,0.0152721117671364,-0.0019409638351977,0.0217391304347825,0.0625057563718594
A05,16,CP2,0.0164497068681243,0.0111669725683739,-0.0052827342997504,0.0217391304347825,0.0625057563718594
A05,17,CP4,0.0206622170525787,0.0140922732459976,-0.0065699438065811,0.0217391304347825,0.0625057563718594
A05,18,P1,0.0193098466448732,0.0158187631358818,-0.0034910835089914,0.0217391304347825,0.0625057563718594
A05,19,Pz,0.0160210637075497,0.0118264315200639,-0.0041946321874858,0.0217391304347825,0.0625057563718594
A05,20,P2,0.0161728464314633,0.0133799596711274,-0.0027928867603359,0.0217391304347825,0.0625057563718594
A05,21,POz,0.0139000647675019,0.0143828278839176,0.0004827631164157,0.0217391304347825,0.0625057563718594
A06,0,Fz,0.0261310810430549,0.0251780183386023,-0.0009530627044526,0.0,0.0024605276447511
A06,1,FC3,0.0275673023371876,0.0258643839642184,-0.0017029183729692,0.0,0.0024605276447511
A06,2,FC1,0.0256631784362306,0.0254374160152863,-0.0002257624209443,0.0,0.0024605276447511
A06,3,FCz,0.0245607833678363,0.020349771057352,-0.0042110123104842,0.0,0.0024605276447511
A06,4,FC2,0.0272042891166806,0.0271231316827094,-8.11574339712115e-05,0.0,0.0024605276447511
A06,5,FC4,0.0334333862467869,0.0306469913917868,-0.002786394855,0.0,0.0024605276447511
A06,6,C5,0.0372150667241428,0.0372658458757263,5.077915158351043e-05,0.0,0.0024605276447511
A06,7,C3,0.0236652771260371,0.0239967800500944,0.0003315029240572,0.0,0.0024605276447511
A06,8,C1,0.0337674240469648,0.0301406895217642,-0.0036267345252005,0.0,0.0024605276447511
A06,9,Cz,0.0316752131601229,0.0220780197527562,-0.0095971934073667,0.0,0.0024605276447511
A06,10,C2,0.0352599889987493,0.0354288513005965,0.0001688623018472,0.0,0.0024605276447511
A06,11,C4,0.0455360596632218,0.0493703341883375,0.0038342745251157,0.0,0.0024605276447511
A06,12,C6,0.0610375295798381,0.0565609049046071,-0.004476624675231,0.0,0.0024605276447511
A06,13,CP3,0.0364930140002237,0.035467039008149,-0.0010259749920746,0.0,0.0024605276447511
A06,14,CP1,0.0467474096579626,0.0432372159907123,-0.0035101936672503,0.0,0.0024605276447511
A06,15,CPz,0.0432350877534887,0.0344090992259837,-0.0088259885275049,0.0,0.0024605276447511
