Subject,Condition,Accuracy,Macro_F1,Raw_Accuracy,Raw_F1,Accuracy_Improvement,F1_Improvement,Delta_Theta_R2,Delta_Alpha_Mu_R2,Delta_Beta_R2,Delta_Gamma_R2,Delta_Overall_R2
A05,Theta_Clean,0.3115942028985507,0.2548347434497816,0.3152173913043478,0.2458182770358732,-0.003623188405797,0.0090164664139083,-0.07634625503888,-0.0339006935331404,0.016776957308841,0.0368341456467083,-0.0141589614041177
A06,Theta_Clean,0.4093023255813953,0.3940990176433214,0.4511627906976744,0.4432450739825371,-0.0418604651162791,-0.0491460563392157,-0.0350666892217964,0.0485639639307901,0.0306761978730331,0.0619170119480163,0.0265226211325107
A07,Theta_Clean,0.516245487364621,0.5075302885677159,0.4584837545126354,0.4535917655575161,0.0577617328519855,0.0539385230101997,-0.0542130382238494,-0.0342377437013417,0.0522111998831532,-0.0129102880682419,-0.0122874675275699
A08,Theta_Clean,0.6826568265682657,0.6737178266489467,0.6568265682656826,0.6565976390556222,0.025830258302583,0.0171201875933245,-0.0474019023448395,0.048357201919159,0.0419850918476684,0.061372373261159,0.0260781911707867
A09,Theta_Clean,0.6666666666666666,0.6651030198420572,0.6590909090909091,0.6582576519785905,0.0075757575757575,0.0068453678634666,-0.0751396460088394,-0.0046891966565917,0.0285078019166889,-0.01633881006251,-0.016914962702813
A01,Alpha_Mu_Clean,0.5836298932384342,0.56360469099629,0.6227758007117438,0.6150849154850597,-0.0391459074733095,-0.0514802244887697,-0.0471552780865337,0.0295862868760327,0.047101222862827,0.0667229116828805,0.0240637858338016
A02,Alpha_Mu_Clean,0.303886925795053,0.2889982071134995,0.342756183745583,0.3286963549329631,-0.0388692579505299,-0.0396981478194636,-0.0569048816171729,0.0123729747408106,0.0370744002947483,0.0598688510049481,0.0131028361058335
A03,Alpha_Mu_Clean,0.652014652014652,0.6100306136506768,0.6923076923076923,0.6770762367227954,-0.0402930402930402,-0.0670456230721185,-0.0306141050538108,0.0482780897246012,0.0642117473843783,0.0222126300277073,0.026022090520719
A04,Alpha_Mu_Clean,0.5131578947368421,0.5098628179134944,0.4385964912280701,0.4330969183721477,0.074561403508772,0.0767658995413467,-0.0645321403842911,0.0415172481218911,0.0491384800385508,0.0720598760322497,0.0245458659521001
A05,Alpha_Mu_Clean,0.3840579710144927,0.3800229181331034,0.3152173913043478,0.2458182770358732,0.0688405797101449,0.1342046410972302,-0.07634625503888,-0.0339006935331404,0.016776957308841,0.0368341456467083,-0.0141589614041177
A06,Alpha_Mu_Clean,0.4976744186046511,0.4885073701611792,0.4511627906976744,0.4432450739825371,0.0465116279069767,0.045262296178642,-0.0350666892217964,0.0485639639307901,0.0306761978730331,0.0619170119480163,0.0265226211325107
A07,Alpha_Mu_Clean,0.5487364620938628,0.5434038902262782,0.4584837545126354,0.4535917655575161,0.0902527075812274,0.0898121246687621,-0.0542130382238494,-0.0342377437013417,0.0522111998831532,-0.0129102880682419,-0.0122874675275699
A08,Alpha_Mu_Clean,0.5904059040590406,0.5938295772854596,0.6568265682656826,0.6565976390556222,-0.066420664206642,-0.0627680617701625,-0.0474019023448395,0.048357201919159,0.0419850918476684,0.061372373261159,0.0260781911707867
A09,Alpha_Mu_Clean,0.696969696969697,0.6935919275505085,0.6590909090909091,0.6582576519785905,0.0378787878787879,0.0353342755719179,-0.0751396460088394,-0.0046891966565917,0.0285078019166889,-0.01633881006251,-0.016914962702813
A01,Beta_Clean,0.608540925266904,0.5992292555195283,0.6227758007117438,0.6150849154850597,-0.0142348754448398,-0.0158556599655314,-0.0471552780865337,0.0295862868760327,0.047101222862827,0.0667229116828805,0.0240637858338016
A02,Beta_Clean,0.3321554770318021,0.319542097687259,0.342756183745583,0.3286963549329631,-0.0106007067137808,-0.0091542572457041,-0.0569048816171729,0.0123729747408106,0.0370744002947483,0.0598688510049481,0.0131028361058335
A03,Beta_Clean,0.706959706959707,0.6855310561832673,0.6923076923076923,0.6770762367227954,0.0146520146520147,0.0084548194604718,-0.0306141050538108,0.0482780897246012,0.0642117473843783,0.0222126300277073,0.026022090520719
A04,Beta_Clean,0.4122807017543859,0.4078779599271402,0.4385964912280701,0.4330969183721477,-0.0263157894736841,-0.0252189584450074,-0.0645321403842911,0.0415172481218911,0.0491384800385508,0.0720598760322497,0.0245458659521001
A05,Beta_Clean,0.3768115942028985,0.3776540654772821,0.3152173913043478,0.2458182770358732,0.0615942028985507,0.1318357884414089,-0.07634625503888,-0.0339006935331404,0.016776957308841,0.0368341456467083,-0.0141589614041177
A06,Beta_Clean,0.3581395348837209,0.3548838768365868,0.4511627906976744,0.4432450739825371,-0.0930232558139534,-0.0883611971459503,-0.0350666892217964,0.0485639639307901,0.0306761978730331,0.0619170119480163,0.0265226211325107
A07,Beta_Clean,0.5487364620938628,0.5469820535415119,0.4584837545126354,0.4535917655575161,0.0902527075812274,0.0933902879839957,-0.0542130382238494,-0.0342377437013417,0.0522111998831532,-0.0129102880682419,-0.0122874675275699
A08,Beta_Clean,0.6642066420664207,0.6415506935308914,0.6568265682656826,0.6565976390556222,0.007380073800738,-0.0150469455247307,-0.0474019023448395,0.048357201919159,0.0419850918476684,0.061372373261159,0.0260781911707867
A09,Beta_Clean,0.7007575757575758,0.7032144275725952,0.6590909090909091,0.6582576519785905,0.0416666666666667,0.0449567755940046,-0.0751396460088394,-0.0046891966565917,0.0285078019166889,-0.01633881006251,-0.016914962702813
A01,Gamma_Clean,0.6227758007117438,0.6107919608234044,0.6227758007117438,0.6150849154850597,0.0,-0.0042929546616553,-0.0471552780865337,0.0295862868760327,0.047101222862827,0.0667229116828805,0.0240637858338016
A02,Gamma_Clean,0.342756183745583,0.3278443522492962,0.342756183745583,0.3286963549329631,0.0,-0.0008520026836669,-0.0569048816171729,0.0123729747408106,0.0370744002947483,0.0598688510049481,0.0131028361058335
A03,Gamma_Clean,0.706959706959707,0.6941171861644538,0.6923076923076923,0.6770762367227954,0.0146520146520147,0.0170409494416584,-0.0306141050538108,0.0482780897246012,0.0642117473843783,0.0222126300277073,0.026022090520719
A04,Gamma_Clean,0.4605263157894737,0.4595747844186738,0.4385964912280701,0.4330969183721477,0.0219298245614035,0.026477866046526,-0.0645321403842911,0.0415172481218911,0.0491384800385508,0.0720598760322497,0.0245458659521001
A05,Gamma_Clean,0.2898550724637681,0.2447866519916605,0.3152173913043478,0.2458182770358732,-0.0253623188405796,-0.0010316250442126,-0.07634625503888,-0.0339006935331404,0.016776957308841,0.0368341456467083,-0.0141589614041177
A06,Gamma_Clean,0.3627906976744186,0.3459531590413943,0.4511627906976744,0.4432450739825371,-0.0883720930232557,-0.0972919149411428,-0.0350666892217964,0.0485639639307901,0.0306761978730331,0.0619170119480163,0.0265226211325107
A07,Gamma_Clean,0.5379061371841155,0.533253336741929,0.4584837545126354,0.4535917655575161,0.0794223826714801,0.0796615711844128,-0.0542130382238494,-0.0342377437013417,0.0522111998831532,-0.0129102880682419,-0.0122874675275699
A08,Gamma_Clean,0.6457564575645757,0.6372922977201052,0.6568265682656826,0.6565976390556222,-0.0110701107011069,-0.0193053413355169,-0.0474019023448395,0.048357201919159,0.0419850918476684,0.061372373261159,0.0260781911707867
A09,Gamma_Clean,0.7196969696969697,0.7171486766066044,0.6590909090909091,0.6582576519785905,0.0606060606060606,0.0588910246280138,-0.0751396460088394,-0.0046891966565917,0.0285078019166889,-0.01633881006251,-0.016914962702813
