Subject,Class_ID,Class,N_Trials,Raw_C3_Normalized_Beta,Clean_C3_Normalized_Beta,Raw_Cz_Normalized_Beta,Clean_Cz_Normalized_Beta,Raw_C4_Normalized_Beta,Clean_C4_Normalized_Beta,Raw_C3_minus_C4,Clean_C3_minus_C4,Delta_C3_minus_C4,Raw_Expected_Hand_Lateralization,Clean_Expected_Hand_Lateralization,Delta_Expected_Hand_Lateralization,Delta_Accuracy,Delta_F1
A03,3,Feet,68,0.1568080218091136,-0.0157880132510334,0.1299137343841066,-0.0714316174494964,0.1602823952884448,-0.0364496061341226,-0.0034743734793312,0.0206615928830891,0.0241359663624204,,,,-0.0036630036630036,-0.0015693192651327
A03,4,Tongue,68,0.151685387767025,0.1951215388395229,0.0789226372690144,0.1008486126694978,0.0303739394503991,0.0790914419698093,0.1213114483166258,0.1160300968697135,-0.0052813514469123,,,,-0.0036630036630036,-0.0015693192651327
A04,1,Left_Hand,59,-0.123839427698984,-0.1045900231518615,-0.1757381126876067,-0.1694838518163126,-0.0200046831121456,0.0084874364287654,-0.1038347445868384,-0.113077459580627,-0.0092427149937885,-0.1038347445868384,-0.113077459580627,-0.0092427149937885,-0.0263157894736841,-0.0274821218015374
A04,2,Right_Hand,57,-0.0709055414918192,-0.079743584707167,-0.125591926322089,-0.1379872143572433,0.1229386853614326,0.1667533855736765,-0.1938442268532519,-0.2464969702808435,-0.0526527434275916,0.1938442268532519,0.2464969702808435,0.0526527434275916,-0.0263157894736841,-0.0274821218015374
A04,3,Feet,59,0.1218075492702338,0.0871405784178465,0.2039258825888639,0.1582068517325761,0.3207318368066695,0.2985265916900031,-0.1989242875364357,-0.2113860132721564,-0.0124617257357207,,,,-0.0263157894736841,-0.0274821218015374
A04,4,Tongue,53,0.0901979593008334,0.0867109274816444,0.1699298841892249,0.1627503001876596,0.3621367118543719,0.4343438264593954,-0.2719387525535384,-0.347632898977751,-0.0756941464242125,,,,-0.0263157894736841,-0.0274821218015374
A05,1,Left_Hand,70,-0.046131160157473,-0.0962086174949932,-0.0199616267553347,-0.0753289004971394,-0.0050932245737415,-0.0674946523858921,-0.0410379355837315,-0.028713965109101,0.0123239704746304,-0.0410379355837315,-0.028713965109101,0.0123239704746304,0.0217391304347825,0.0625057563718594
A05,2,Right_Hand,65,-0.008838292143699,-0.0407392278933845,-0.0142517712607248,-0.04320310564617,0.0140809486911545,-0.0270466682538728,-0.0229192408348536,-0.0136925596395117,0.0092266811953418,0.0229192408348536,0.0136925596395117,-0.0092266811953418,0.0217391304347825,0.0625057563718594
A05,3,Feet,72,0.0955257687161578,0.0517273949409818,0.1200433395477026,0.0670298300944978,0.1221158250405451,0.0654031142607157,-0.0265900563243872,-0.0136757193197339,0.0129143370046533,,,,0.0217391304347825,0.0625057563718594
A05,4,Tongue,69,0.0983469512704517,0.1126253589302151,0.0705498452623945,0.0793855508393254,0.0589270397712004,0.0681256050603838,0.0394199114992513,0.0444997538698312,0.0050798423705799,,,,0.0217391304347825,0.0625057563718594
A06,1,Left_Hand,53,0.0572791274119405,-0.0601736932737269,0.0986692829834107,-0.1666599172543489,0.089693953164993,-0.0315971679336324,-0.0324148257530524,-0.0285765253400944,0.0038383004129579,-0.0324148257530524,-0.0285765253400944,0.0038383004129579,0.0,0.0024605276447511
A06,2,Right_Hand,55,-0.1169356649009083,-0.1228979529551446,0.0083252858472871,-0.1423806318894325,0.0193752938305417,-0.0673935533329392,-0.13631095873145,-0.0555043996222054,0.0808065591092445,0.13631095873145,0.0555043996222054,-0.0808065591092445,0.0,0.0024605276447511
A06,3,Feet,54,0.348553141219682,0.3673998694790025,0.165839839822778,0.1839778114345564,0.2430728188675649,0.3377845367470528,0.105480322352117,0.0296153327319496,-0.0758649896201673,,,,0.0,0.0024605276447511
A06,4,Tongue,53,0.2879021158725874,0.1913876906656242,0.1836411250012628,-0.0108365854374939,0.2006625245094034,0.194794547393763,0.0872395913631841,-0.0034068567281386,-0.0906464480913228,,,,0.0,0.0024605276447511
A07,1,Left_Hand,71,-0.4529496078210209,-0.4714158576493183,-0.3242757070753236,-0.3412330493777307,-0.3456747186938603,-0.4171629038838964,-0.1072748891271606,-0.0542529537654218,0.0530219353617388,-0.1072748891271606,-0.0542529537654218,0.0530219353617388,0.0613718411552346,0.0659035397796197
A07,2,Right_Hand,69,-0.3570463282356943,-0.4064563263357524,-0.312574206116514,-0.3482276889245637,-0.1803197273777023,-0.2240970226859403,-0.1767266008579919,-0.1823593036498122,-0.0056327027918202,0.1767266008579919,0.1823593036498122,0.0056327027918202,0.0613718411552346,0.0659035397796197
