Subject,Channel,Window_Start_s,Window_End_s,Window_Center_s,Raw_Beta_Power,Clean_Beta_Power,Delta_Beta_Power,Delta_Beta_Percent,Hand_Raw_Beta,Hand_Clean_Beta,Hand_Delta_Beta_Percent,NonHand_Raw_Beta,NonHand_Clean_Beta,NonHand_Delta_Beta_Percent,Delta_Accuracy,Delta_F1
A03,Cz,2.3000000000000003,2.8000000000000003,2.5500000000000003,21.321090658562866,7.185119699310081,-14.135970959252784,-66.30041204564537,19.700198713735496,6.4118069824427595,-67.45308473476321,22.953900926513967,7.964118539095544,-65.30385591280383,-0.00366300366300365,-0.001569319265132707
A03,Cz,2.4000000000000004,2.9000000000000004,2.6500000000000004,23.86711787697408,8.269312647072956,-15.597805229901125,-65.35269700473212,23.1660573443436,7.715566289095615,-66.69452132311368,24.57333326646214,8.827130669447191,-64.0784155176273,-0.00366300366300365,-0.001569319265132707
A03,Cz,2.5,3.0,2.75,23.76386406130278,8.41034495826241,-15.35351910304037,-64.60868090910405,23.46911150216547,7.9431453957788545,-66.15489514783741,24.06078391866904,8.880979811646583,-63.08939957373655,-0.00366300366300365,-0.001569319265132707
A03,Cz,2.6,3.1,2.85,24.67783520719152,8.721614561009766,-15.956220646181755,-64.65810518716752,23.664244810333567,7.978251010123718,-66.28563018144649,25.698878474614613,9.470444020358206,-63.14841509635091,-0.00366300366300365,-0.001569319265132707
A03,Cz,2.7,3.2,2.95,22.095009124436803,8.237676826813475,-13.857332297623328,-62.71702455328381,19.878755578785718,6.963527741078818,-64.97000170116192,24.327558652041198,9.521194655825594,-60.8625148457849,-0.00366300366300365,-0.001569319265132707
A03,Cz,2.8000000000000003,3.3000000000000003,3.0500000000000003,23.52755741712456,8.502807089524596,-15.024750327599962,-63.8602217018252,21.906464558727542,7.218345481322151,-67.04924492963717,25.16057007595096,9.796713268375587,-61.06323013030811,-0.00366300366300365,-0.001569319265132707
A03,Cz,2.9000000000000004,3.4000000000000004,3.1500000000000004,20.73292438436175,7.23011097266613,-13.50281341169562,-65.12739429021602,20.41928102073055,6.409993278373749,-68.6081342831511,21.048873949196118,8.056258944122424,-61.72593857720307,-0.00366300366300365,-0.001569319265132707
A03,Cz,3.0,3.5,3.25,23.306260318068432,7.814379700832121,-15.491880617236312,-66.4708984016027,22.963294594054236,7.067023536308614,-69.2246967987841,23.651747848876852,8.567231131271244,-63.777598230745234,-0.00366300366300365,-0.001569319265132707
A03,Cz,3.1,3.6,3.35,22.084836081837068,7.59057774707521,-14.494258334761858,-65.6299113158561,21.29532386941906,6.70354091406708,-68.52106614967414,22.88015353111109,8.48413690973781,-62.9192308600483,-0.00366300366300365,-0.001569319265132707
A03,Cz,3.2,3.7,3.45,22.001817669649103,7.769576253483581,-14.232241416165522,-64.68666193792936,20.802114873054624,6.881359431212473,-66.91990466735655,23.210341810336196,8.664324081800798,-62.670415831867075,-0.00366300366300365,-0.001569319265132707
